a_columns,b_columns,confidence,match_type,reasoning
customer_id,customer_id,1,one_to_one,"Exact match on column name, data type, description, and sample values for customer unique identifier."
first_name,cust_first_nm,0.95,one_to_one,"Same semantic meaning (customer's given name), identical data type and sample values, only naming convention differs."
last_name,cust_last_nm,0.95,one_to_one,"Same semantic meaning (customer's family name), identical data type and sample values, only naming convention differs."
email_address,email_address,1,one_to_one,"Exact match on column name, data type, description, and sample values for customer email."
phone_number,contact_phone,0.95,one_to_one,"Same semantic meaning (primary contact phone), identical data type, format (E.164), and sample values."
date_of_birth,birth_dt,0.95,one_to_one,"Same semantic meaning (customer birth date), identical data type and sample values, only naming convention differs."
registration_date,acct_created_ts,0.95,one_to_one,"Same semantic meaning (account creation timestamp), identical data type and sample values, only naming convention differs."
account_status,status_cd,0.95,one_to_one,"Same semantic meaning (customer account status), identical data type and sample values (active, suspended, closed)."
loyalty_points_balance,reward_credits,0.9,one_to_one,"Same semantic meaning (redeemable loyalty/reward points), identical data type and sample values, terminology differs slightly."
billing_address_line1; billing_address_line2,bill_street_name; bill_street_number,0.7,many_to_one,System A stores full address lines while System B splits into street name and number components; semantic overlap but different granularity.
billing_city,bill_city_nm,0.95,one_to_one,"Same semantic meaning (billing city), identical data type and sample values, only naming convention differs."
billing_postal_code,bill_zip,0.95,one_to_one,"Same semantic meaning (billing postal code), identical data type and sample values, only naming convention differs."
marketing_opt_in,consent_flag,0.9,one_to_one,"Same semantic meaning (marketing consent), identical data type and sample values, terminology differs slightly."
customer_segment,cust_cohort,0.9,one_to_one,"Same semantic meaning (internal customer classification), identical data type and sample values (high_value, at_risk, new)."
acquisition_channel,source_medium,0.9,one_to_one,"Same semantic meaning (customer acquisition source), identical data type and sample values (organic_search, referral)."
order_id,order_id,1,one_to_one,"Exact match on column name, data type, description, and sample values for order unique identifier."
customer_id_fk,cust_id,0.95,one_to_one,"Same semantic meaning (customer foreign key in orders), identical data type and sample values, only naming convention differs."
order_date,order_ts,0.95,one_to_one,"Same semantic meaning (order placement timestamp), identical data type and sample values, only naming convention differs."
order_status,order_status,1,one_to_one,"Exact match on column name, data type, description, and sample values for order fulfillment status."
total_amount_usd,order_grand_total,0.9,one_to_one,"Same semantic meaning (total order value), identical data type and sample values, terminology differs slightly."
tax_amount_usd,tax_amount_eur,0.85,one_to_one,"Same semantic meaning (order tax), identical data type, but currency differs (USD vs EUR); likely currency conversion applied."
shipping_cost_usd,shipping_cost_eur,0.85,one_to_one,"Same semantic meaning (shipping fee), identical data type, but currency differs (USD vs EUR); likely currency conversion applied."
payment_method,pay_method_cd,0.95,one_to_one,"Same semantic meaning (payment method), identical data type and sample values, only naming convention differs."
payment_status,payment_status,1,one_to_one,"Exact match on column name, data type, description, and sample values for payment processing status."
shipping_address_line1,ship_street_name; ship_street_number,0.7,one_to_many,System A stores full address line while System B splits into street name and number components; semantic overlap but different granularity.
shipping_city,ship_city_nm,0.95,one_to_one,"Same semantic meaning (shipping city), identical data type and sample values, only naming convention differs."
shipping_method,delivery_speed_option,0.9,one_to_one,"Same semantic meaning (shipping speed/method), identical data type and sample values (standard, express)."
estimated_delivery_date,expected_delivery_dt,0.95,one_to_one,"Same semantic meaning (estimated delivery date), identical data type and sample values, only naming convention differs."
actual_delivery_date,delivery_date,0.9,one_to_one,"Same semantic meaning (actual delivery date), identical data type and sample values, terminology differs slightly."
coupon_code,promo_ref,0.9,one_to_one,"Same semantic meaning (promotional code), identical data type and sample values (SUMMER10, null)."
order_notes,customer_remarks,0.9,one_to_one,"Same semantic meaning (customer notes on order), identical data type and sample values (Leave at door)."
product_id,product_id,1,one_to_one,"Exact match on column name, data type, description, and sample values for product unique identifier."
product_sku,product_sku,1,one_to_one,"Exact match on column name, data type, description, and sample values for product SKU."
product_name,product_name,1,one_to_one,"Exact match on column name, data type, description, and sample values for product display name."
product_description,marketing_copy,0.9,one_to_one,"Same semantic meaning (product marketing description), identical data type and sample values, terminology differs slightly."
category_name,cat_nm,0.95,one_to_one,"Same semantic meaning (product category name), identical data type and sample values, only naming convention differs."
brand_name,brand_nm,0.95,one_to_one,"Same semantic meaning (brand/manufacturer name), identical data type and sample values, only naming convention differs."
unit_price_usd,unit_price_cents,0.85,one_to_one,"Same semantic meaning (retail price per unit), but unit differs (USD decimal vs cents integer); sample values consistent with conversion (29.99 USD = 2999 cents)."
cost_price_usd,wholesale_unit_cost,0.9,one_to_one,"Same semantic meaning (wholesale/cost price), identical data type and sample values, terminology differs slightly."
weight_kg,weight_lb,0.85,one_to_one,"Same semantic meaning (product weight), identical data type, but unit differs (kg vs lb); sample values consistent with conversion (0.095 kg ≈ 0.21 lb)."
length_cm,length_in,0.85,one_to_one,"Same semantic meaning (product length), identical data type, but unit differs (cm vs inches); sample values consistent with conversion (10.5 cm ≈ 4.13 in)."
width_cm,width_in,0.85,one_to_one,"Same semantic meaning (product width), identical data type, but unit differs (cm vs inches); sample values consistent with conversion (6.2 cm ≈ 2.44 in)."
height_cm,height_in,0.85,one_to_one,"Same semantic meaning (product height), identical data type, but unit differs (cm vs inches); sample values consistent with conversion (3.8 cm ≈ 1.5 in)."
stock_quantity,qty_on_hand,0.95,one_to_one,"Same semantic meaning (current inventory count), identical data type and sample values, only naming convention differs."
reorder_threshold,min_stock_trigger,0.9,one_to_one,"Same semantic meaning (inventory restock trigger level), identical data type and sample values, terminology differs slightly."
supplier_name,vendor_nm,0.95,one_to_one,"Same semantic meaning (supplier name), identical data type and sample values, only naming convention differs."
average_rating,customer_star_avg,0.9,one_to_one,"Same semantic meaning (average customer rating), identical data type and sample values, terminology differs slightly."
ticket_id,ticket_id,1,one_to_one,"Exact match on column name, data type, description, and sample values for support ticket unique identifier."
ticket_subject,subject_txt,0.95,one_to_one,"Same semantic meaning (ticket subject line), identical data type and sample values, only naming convention differs."
ticket_description,issue_detail_txt,0.9,one_to_one,"Same semantic meaning (full issue description), identical data type and sample values, terminology differs slightly."
ticket_priority,priority_lvl,0.95,one_to_one,"Same semantic meaning (ticket priority level), identical data type and sample values, only naming convention differs."
